id,short_name,full_name,submission_date,notification_date,conference_date,location,ccf_rank,core_rank,qualis_rank,cp_index,cp_index_rank,cp_index_confidence,is_extended,years,clicked,detail_page
515,FG,International Conference on Automatic Face and Gesture Recognition,2026-10-09,2026-12-20,2027-04-26,"Marrakesh, Morocco",C,B,A1,75.76,250,0.8,False,21,58931,https://www.myhuiban.com/conference/515
608,HotMobile,International Workshop on Mobile Computing Systems and Applications,2026-10-09,2026-12-16,2027-02-24,"Tucson, Arizona",,,B2,63.26,487,0.8,False,28,31667,https://www.myhuiban.com/conference/608
1574,ICETC,International Conference on Education Technology and Computers,2026-10-10,2026-11-10,2026-12-14,"Porto, Portugal",,,B4,52.72,1084,0.8,True,18,23100,https://www.myhuiban.com/conference/1574
230,ICSC,International Conference on Semantic Computing,2026-10-10,2026-12-01,2027-02-01,"Laguna Hills, California, USA",,,B2,62.35,520,0.8,False,21,40639,https://www.myhuiban.com/conference/230
1497,IFIP WG 11.9,IFIP WG 11.9 International Conference on Digital Forensics,2026-10-10,2026-11-10,2027-01-07,"New Delhi, India",C,,,63.92,467,0.8,False,22,42566,https://www.myhuiban.com/conference/1497
133,SIGMOD,ACM Conference on Management of Data,2026-10-10,2027-01-19,2027-06-13,"Huntington Beach, California, USA",A,A*,A1,81.17,182,0.8,False,54,1322534,https://www.myhuiban.com/conference/133
389,STACS,International Symposium on Theoretical Aspects of Computer Science,2026-10-11,2026-12-22,2027-03-08,"Gottingen, Germany",C,A,A2,87.58,101,1,False,44,48056,https://www.myhuiban.com/conference/389
419,ALT,International Conference on Algorithmic Learning Theory,2026-10-12,2027-01-05,2027-03-09,"Leiden, the Netherlands",C,B,B1,80.11,196,1,False,38,107508,https://www.myhuiban.com/conference/419
170,COLING,International Conference on Computational Linguistics,2026-10-12,2027-02-10,2027-05-09,"Macau, China",B,B,A1,92.67,33,1,False,32,226608,https://www.myhuiban.com/conference/170
743,ICIT,IEEE International Conference on Industrial Technology,2026-10-12,2026-12-11,2027-03-15,"Florianopolis, Brazil",,,B3,61.12,565,0.8,False,28,44026,https://www.myhuiban.com/conference/743
426,NAACL,Annual Conference of the North American Chapter of the Association for Computational Linguistics,2026-10-12,,2027-06-01,"San Francisco, California, USA",B,A,A1,89.34,74,1,False,25,441165,https://www.myhuiban.com/conference/426
340,ISCAS,International Symposium on Circuits and Systems,2026-10-13,2027-01-11,2027-06-06,"Bordeaux, France",B,C,A1,64.38,452,0.8,False,0,148958,https://www.myhuiban.com/conference/340
